account_id,business_name,segment,public_source_url,source_retrieved_at,zone,distance_km,rooms_or_units_estimate,fit_score,fit_reason,stage,owner,next_action,next_action_at,do_not_contact
P011-HOAN-CAU-KHANH-HOA-CO-LTD-HOAN-CAU,Hoan Cau Khanh Hoa Co Ltd (Hoan Cau Group),CONDOTEL_APARTMENT,https://www.nhatrangcenter.com/ban-va-cho-thue-can-ho-117-50-2-luxury.html,2026-08-18,FREE_DELIVERY_LE_2KM,1.2,,45/45,Condotel apartment · cách tiệm ~1.2km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P012-NHA-TRANG-CENTER,Nha Trang Center,CONDOTEL_APARTMENT,https://www.nhatrangcenter.com/ban-va-cho-thue-can-ho-117-50-2-luxury.html,2026-08-18,FREE_DELIVERY_LE_2KM,1.2,56,45/45,Condotel apartment · ~56 phòng/căn · cách tiệm ~1.2km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P013-DOLPHIN-HOTEL-NHA-TRANG,Dolphin Hotel Nha Trang,CONDOTEL_APARTMENT,"https://www.booking.com/aparthotels/city/vn/nha-trang.html,https://www.trip.com/hotels/nha-trang-hotel-detail-131631548/dolphin-hotel-nha-trang/",2026-08-18,FREE_DELIVERY_LE_2KM,1.3,31,45/45,Condotel apartment · ~31 phòng/căn · cách tiệm ~1.3km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P014-HUD-BUILDING-NHA-TRANG,HUD Building Nha Trang,CONDOTEL_APARTMENT,https://nhatranghousing.com/en/top-apartment-buildings-to-rent-in-nha-trang-your-ultimate-guide-to-coastal-living-nd163.html,2026-08-18,FREE_DELIVERY_LE_2KM,1.3,,45/45,Condotel apartment · cách tiệm ~1.3km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P015-MARINA-SUITES-NHA-TRANG,Marina Suites Nha Trang,CONDOTEL_APARTMENT,https://nhatranghousing.com/en/the-ultimate-guide-to-apartment-rentals-in-nha-trang-top-residences-and-local-insights-nd164.html,2026-08-18,FREE_DELIVERY_LE_2KM,1.4,,45/45,Condotel apartment · cách tiệm ~1.4km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P016-ZOOM-APARTMENT,Zoom Apartment,CONDOTEL_APARTMENT,https://nhatrangapartments.com/vi/pr/panorama-nha-trang/for-rent,2026-08-18,FREE_DELIVERY_LE_2KM,1.9,,45/45,Condotel apartment · cách tiệm ~1.9km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P017-OCEAN-WIN-PANORAMA-NHA-TRANG,Ocean Win Panorama Nha Trang,CONDOTEL_APARTMENT,https://www.booking.com/aparthotels/city/vn/nha-trang.html,2026-08-18,FREE_DELIVERY_LE_2KM,1.9,,45/45,Condotel apartment · cách tiệm ~1.9km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P018-PANORAMA-BEACH-WIN-NHA-TRANG,Panorama Beach Win Nha Trang,CONDOTEL_APARTMENT,https://www.booking.com/aparthotels/city/vn/nha-trang.html,2026-08-18,FREE_DELIVERY_LE_2KM,1.9,,45/45,Condotel apartment · cách tiệm ~1.9km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P019-PANORAMA-NHA-TRANG,Panorama Nha Trang,CONDOTEL_APARTMENT,https://nhatranghousing.com/en/the-ultimate-guide-to-apartment-rentals-in-nha-trang-top-residences-and-local-insights-nd164.html,2026-08-18,FREE_DELIVERY_LE_2KM,1.9,,45/45,Condotel apartment · cách tiệm ~1.9km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P020-NHA-NGHI-MUA-HE-MUA-HE-GUESTHOUSE,Nhà Nghỉ Mùa Hè (Mua He Guesthouse),GUESTHOUSE_NHA_NGHI,https://www.agoda.com/vi-vn/mua-he-guesthouse/hotel/nha-trang-vn.html,2026-08-18,FREE_DELIVERY_LE_2KM,0.8,,44/45,Guesthouse nha nghi · cách tiệm ~0.8km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P021-VIET-SKY-HOTEL-NHA-TRANG,Viet Sky Hotel Nha Trang,HOTEL,https://vn.trip.com/hotels/nha-trang-hotel-detail-2487934/viet-sky-hotel-nha-trang/,2026-08-18,FREE_DELIVERY_LE_2KM,0.1,48,42/45,Hotel · ~48 phòng/căn · cách tiệm ~0.1km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P022-ALOHA-HOTEL-NHA-TRANG,Aloha Hotel Nha Trang,HOTEL,https://www.trip.com/hotels/nha-trang-hotel-detail-30011756/aloha-hotel-nha-trang/,2026-08-18,FREE_DELIVERY_LE_2KM,0.1,80,42/45,Hotel · ~80 phòng/căn · cách tiệm ~0.1km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P023-IVY-HOTEL-NHA-TRANG,Ivy Hotel Nha Trang,HOTEL,https://www.hostelworld.com/hotels/p/306082/ivy-hotel-nha-trang/,2026-08-18,FREE_DELIVERY_LE_2KM,0.1,,42/45,Hotel · cách tiệm ~0.1km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P024-BN-CENTER-HOTEL-NHA-TRANG,BN Center Hotel Nha Trang,HOTEL,https://www.hostelworld.com/hotels/p/324406/bn-center-hotel-nha-trang/,2026-08-18,FREE_DELIVERY_LE_2KM,0.7,,42/45,Hotel · cách tiệm ~0.7km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P025-HAPPY-LIGHT-CENTRAL-NHA-TRANG,Happy Light Central Nha Trang,HOTEL,https://www.hostelworld.com/hotels/p/327408/happy-light-central-nha-trang/,2026-08-18,FREE_DELIVERY_LE_2KM,0.7,,42/45,Hotel · cách tiệm ~0.7km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P026-ALE-NHA-TRANG-HOTEL,Ale Nha Trang Hotel,HOTEL,https://us.trip.com/hotels/nha-trang-hotel-detail-10201344/ale-nha-trang-hotel/,2026-08-18,FREE_DELIVERY_LE_2KM,0.8,65,42/45,Hotel · ~65 phòng/căn · cách tiệm ~0.8km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P027-BARCELONA-NHA-TRANG,Barcelona Nha Trang,HOTEL,https://daivietourist.vn/khach-san-duong-nguyen-thien-thuat-nha-trang/,2026-08-18,FREE_DELIVERY_LE_2KM,0.8,,42/45,Hotel · cách tiệm ~0.8km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P028-BERLIN-HAUS-NHA-TRANG-HOTEL,Berlin Haus Nha Trang Hotel,HOTEL,https://daivietourist.vn/khach-san-duong-nguyen-thien-thuat-nha-trang/,2026-08-18,FREE_DELIVERY_LE_2KM,0.8,,42/45,Hotel · cách tiệm ~0.8km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P029-C30-GLORY-NHA-TRANG,C30 Glory Nha Trang,HOTEL,https://daivietourist.vn/khach-san-duong-nguyen-thien-thuat-nha-trang/,2026-08-18,FREE_DELIVERY_LE_2KM,0.8,,42/45,Hotel · cách tiệm ~0.8km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P030-CHAM-RETREAT-HOTEL-NHA-TRANG,Cham Retreat Hotel Nha Trang,HOTEL,https://daivietourist.vn/khach-san-duong-nguyen-thien-thuat-nha-trang/,2026-08-18,FREE_DELIVERY_LE_2KM,0.8,,42/45,Hotel · cách tiệm ~0.8km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P031-DECEMBER-HOTEL-NHA-TRANG,December Hotel Nha Trang,HOTEL,https://daivietourist.vn/khach-san-duong-nguyen-thien-thuat-nha-trang/,2026-08-18,FREE_DELIVERY_LE_2KM,0.8,,42/45,Hotel · cách tiệm ~0.8km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P032-EDELE-HOTEL-NHA-TRANG,Edele Hotel Nha Trang,HOTEL,https://daivietourist.vn/khach-san-duong-nguyen-thien-thuat-nha-trang/,2026-08-18,FREE_DELIVERY_LE_2KM,0.8,,42/45,Hotel · cách tiệm ~0.8km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P033-GALLILOT-HOTEL-NHA-TRANG,Gallilot Hotel Nha Trang,HOTEL,https://daivietourist.vn/khach-san-duong-nguyen-thien-thuat-nha-trang/,2026-08-18,FREE_DELIVERY_LE_2KM,0.8,,42/45,Hotel · cách tiệm ~0.8km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P034-GOLDEN-BEACH-NHA-TRANG,Golden Beach Nha Trang,HOTEL,https://daivietourist.vn/khach-san-duong-nguyen-thien-thuat-nha-trang/,2026-08-18,FREE_DELIVERY_LE_2KM,0.8,,42/45,Hotel · cách tiệm ~0.8km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P035-HA-THANH-HOTEL,Ha Thanh Hotel,HOTEL,https://www.kayak.com/Nha-Trang-Hotels-Ha-Thanh-Hotel.2013647.ksp,2026-08-18,FREE_DELIVERY_LE_2KM,0.8,,42/45,Hotel · cách tiệm ~0.8km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P036-HOMEY-NHA-TRANG-HOTEL,Homey Nha Trang Hotel,HOTEL,https://us.trip.com/hotels/nha-trang-hotel-detail-77361235/homey-hotel-nha-trang/,2026-08-18,FREE_DELIVERY_LE_2KM,0.8,25,42/45,Hotel · ~25 phòng/căn · cách tiệm ~0.8km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P037-KHACH-SAN-LOVE-NHA-TRANG,Khách sạn Love Nha Trang,HOTEL,https://vn.trip.com/hotels/nha-trang-hotel-detail-6078710/love-hotel/,2026-08-18,FREE_DELIVERY_LE_2KM,0.8,49,42/45,Hotel · ~49 phòng/căn · cách tiệm ~0.8km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P038-MAPLE-LEAF-HOTEL-APARTMENT,Maple Leaf Hotel & Apartment,HOTEL,https://us.trip.com/hotels/nha-trang-hotel-detail-4971405/maple-leaf-hotel-and-apartment/,2026-08-18,FREE_DELIVERY_LE_2KM,0.8,63,42/45,Hotel · ~63 phòng/căn · cách tiệm ~0.8km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P039-MOONLIGHT-NHA-TRANG-HOTEL,Moonlight Nha Trang Hotel,HOTEL,https://daivietourist.vn/khach-san-duong-nguyen-thien-thuat-nha-trang/,2026-08-18,FREE_DELIVERY_LE_2KM,0.8,,42/45,Hotel · cách tiệm ~0.8km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P040-NAVY-HOTEL-NHA-TRANG,Navy Hotel Nha Trang,HOTEL,https://sg.trip.com/hotels/nha-trang-hotel-detail-109456335/navy-hotel-nha-trang/,2026-08-18,FREE_DELIVERY_LE_2KM,0.8,30,42/45,Hotel · ~30 phòng/căn · cách tiệm ~0.8km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P041-NHATRANG-COZY-HOTEL,Nhatrang Cozy Hotel,HOTEL,https://pk.trip.com/hotels/nha-trang-hotel-detail-2649296/nhatrang-cozy-hotel/,2026-08-18,FREE_DELIVERY_LE_2KM,0.8,19,42/45,Hotel · ~19 phòng/căn · cách tiệm ~0.8km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P042-ROSAKA-NHA-TRANG-HOTEL,Rosaka Nha Trang Hotel,HOTEL,https://daivietourist.vn/khach-san-duong-nguyen-thien-thuat-nha-trang/,2026-08-18,FREE_DELIVERY_LE_2KM,0.8,,42/45,Hotel · cách tiệm ~0.8km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P043-SATA-HOTEL-NHA-TRANG,Sata Hotel Nha Trang,HOTEL,https://daivietourist.vn/khach-san-duong-nguyen-thien-thuat-nha-trang/,2026-08-18,FREE_DELIVERY_LE_2KM,0.8,,42/45,Hotel · cách tiệm ~0.8km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P044-THANG-LONG-NHA-TRANG-HOTEL,Thang Long Nha Trang Hotel,HOTEL,https://vn.trip.com/hotels/nha-trang-hotel-detail-61928527/thang-long-nha-trang-hotel/,2026-08-18,FREE_DELIVERY_LE_2KM,0.8,,42/45,Hotel · cách tiệm ~0.8km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P045-HAI-VAN-HOTEL,Hai Van Hotel,HOTEL,https://ph.trip.com/hotels/nha-trang-hotel-detail-22905904/hai-van-hotel/,2026-08-18,FREE_DELIVERY_LE_2KM,0.8,,42/45,Hotel · cách tiệm ~0.8km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P046-NHA-TRANG-INN,Nha Trang Inn,HOTEL,https://www.hotelscombined.com/Hotel/Nha_Trang_Inn.htm,2026-08-18,FREE_DELIVERY_LE_2KM,0.8,,42/45,Hotel · cách tiệm ~0.8km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P047-ROYAL-HPM-HOTEL,Royal HPM Hotel,HOTEL,https://daivietourist.vn/khach-san-duong-nguyen-thien-thuat-nha-trang/,2026-08-18,FREE_DELIVERY_LE_2KM,0.8,,42/45,Hotel · cách tiệm ~0.8km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P048-STAR-LIGHT-HOTEL,Star Light Hotel,HOTEL,https://daivietourist.vn/khach-san-duong-nguyen-thien-thuat-nha-trang/,2026-08-18,FREE_DELIVERY_LE_2KM,0.8,,42/45,Hotel · cách tiệm ~0.8km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P049-NEW-SUN-HOTEL,New Sun Hotel,HOTEL,https://us.trip.com/hotels/nha-trang-hotel-detail-4972043/new-sun-hotel-nha-trang/,2026-08-18,FREE_DELIVERY_LE_2KM,0.8,43,42/45,Hotel · ~43 phòng/căn · cách tiệm ~0.8km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P050-REDDOORZ-NEAR-HUNG-VUONG-NHA-TRANG,RedDoorz Near Hung Vuong Nha Trang (Ngoc Thach Hotel),HOTEL,https://uk.trip.com/hotels/nha-trang-hotel-detail-707245/ngoc-thach-hotel/,2026-08-18,FREE_DELIVERY_LE_2KM,0.8,20,42/45,Hotel · ~20 phòng/căn · cách tiệm ~0.8km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P051-TRUONG-HAI-HOTEL,Truong Hai Hotel,HOTEL,https://vn.trip.com/hotels/nha-trang-hotel-detail-38239220/truong-hai-hotel/,2026-08-18,FREE_DELIVERY_LE_2KM,0.8,12,42/45,Hotel · ~12 phòng/căn · cách tiệm ~0.8km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P052-AN-NAM-HOTEL-NHA-TRANG,An Nam hotel Nha Trang,HOTEL,https://vn.trip.com/hotels/nha-trang-hotel-detail-47563067/an-nam-hotel-nha-trang/,2026-08-18,FREE_DELIVERY_LE_2KM,0.8,,42/45,Hotel · cách tiệm ~0.8km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P053-GRAND-TOURANE-NHA-TRANG-HOTEL,Grand Tourane Nha Trang Hotel,HOTEL,https://us.trip.com/hotels/nha-trang-hotels-list-1777/,2026-08-18,FREE_DELIVERY_LE_2KM,0.8,,42/45,Hotel · cách tiệm ~0.8km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P054-GREEN-HOTEL-NHA-TRANG,Green Hotel Nha Trang,HOTEL,https://www.hostelworld.com/hotels/p/338625/green-hotel-nha-trang/,2026-08-18,FREE_DELIVERY_LE_2KM,0.8,,42/45,Hotel · cách tiệm ~0.8km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P055-AMBER-HOTEL-MANAGED-BY-HT,Amber Hotel Managed by HT,HOTEL,https://www.trip.com/hotels/nha-trang-hotel-detail-50740935/amber-nha-trang-hotel/,2026-08-18,FREE_DELIVERY_LE_2KM,0.9,44,42/45,Hotel · ~44 phòng/căn · cách tiệm ~0.9km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P056-KHACH-SAN-SOUVENIR-NHA-TRANG,Khách sạn Souvenir Nha Trang,HOTEL,https://vn.trip.com/hotels/nha-trang-hotel-detail-707274/souvenir-nha-trang-hotel/,2026-08-18,FREE_DELIVERY_LE_2KM,0.9,16,42/45,Hotel · ~16 phòng/căn · cách tiệm ~0.9km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P057-THE-LIGHT-2-HOTEL,The Light 2 Hotel,HOTEL,https://in.trip.com/hotels/nha-trang-hotel-detail-713556/the-light-2-hotel/,2026-08-18,FREE_DELIVERY_LE_2KM,0.9,50,42/45,Hotel · ~50 phòng/căn · cách tiệm ~0.9km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P058-RUBY-HOTEL-NHA-TRANG-BIET-THU-STRE,Ruby Hotel Nha Trang - Biet Thu Street,HOTEL,https://www.trip.com/hotels/nha-trang-hotel-detail-57634670/ruby-hotel-nha-trang-biet-thu-street/,2026-08-18,FREE_DELIVERY_LE_2KM,0.9,,42/45,Hotel · cách tiệm ~0.9km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P059-BINH-AN-HOTEL-NHA-TRANG,Binh An Hotel Nha Trang,HOTEL,https://www.trip.com/hotels/nha-trang-hotel-detail-132132337/binh-an-hotel-nha-trang/,2026-08-18,FREE_DELIVERY_LE_2KM,1.1,12,42/45,Hotel · ~12 phòng/căn · cách tiệm ~1.1km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P060-BONG-SEN-HOTEL-NHA-TRANG,Bong Sen Hotel Nha Trang,HOTEL,https://us.trip.com/hotels/nha-trang-hotel-detail-8989101/bong-sen-hotel-nha-trang/,2026-08-18,FREE_DELIVERY_LE_2KM,1.1,,42/45,Hotel · cách tiệm ~1.1km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P061-HA-NHUNG-HOTEL-NHA-TRANG,Ha Nhung Hotel Nha Trang,HOTEL,https://us.trip.com/hotels/nha-trang-hotel-detail-2843137/ha-nhung-hotel-nha-trang/,2026-08-18,FREE_DELIVERY_LE_2KM,1.1,36,42/45,Hotel · ~36 phòng/căn · cách tiệm ~1.1km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P062-KHACH-SAN-NGOC-HIEN-NHA-TRANG,Khách sạn Ngọc Hiền Nha Trang,HOTEL,https://vn.trip.com/hotels/nha-trang-hotel-detail-21848198/ngoc-hien-hotel-nha-trang/,2026-08-18,FREE_DELIVERY_LE_2KM,1.1,38,42/45,Hotel · ~38 phòng/căn · cách tiệm ~1.1km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P063-MIO-HOTEL-NHA-TRANG,Mio Hotel Nha Trang,HOTEL,https://www.trip.com/hotels/nha-trang-hotel-detail-10929987/mio-hotel-nha-trang/,2026-08-18,FREE_DELIVERY_LE_2KM,1.1,10,42/45,Hotel · ~10 phòng/căn · cách tiệm ~1.1km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P064-SAO-VIET-NHA-TRANG-HOTEL,Sao Viet Nha Trang Hotel,HOTEL,https://www.trip.com/hotels/nha-trang-hotel-detail-18472869/sao-viet-nha-trang-hotel/,2026-08-18,FREE_DELIVERY_LE_2KM,1.1,56,42/45,Hotel · ~56 phòng/căn · cách tiệm ~1.1km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P065-SEASIDE-HOTEL-2,Seaside Hotel 2,HOTEL,https://www.trip.com/hotels/nha-trang-hotel-detail-2864717/seaside-hotel-2/,2026-08-18,FREE_DELIVERY_LE_2KM,1.1,27,42/45,Hotel · ~27 phòng/căn · cách tiệm ~1.1km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P066-APOLLO-HOTEL-NHA-TRANG,Apollo Hotel Nha Trang,HOTEL,https://www.hostelworld.com/hotels/p/318997/apollo-hotel-nha-trang/,2026-08-18,FREE_DELIVERY_LE_2KM,1.1,,42/45,Hotel · cách tiệm ~1.1km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P067-GRAND-GOSIA-HOTEL,Grand Gosia Hotel,HOTEL,https://us.trip.com/hotels/nha-trang-hotel-detail-73299324/ge-xi-ya-da-jiu-dian/,2026-08-18,FREE_DELIVERY_LE_2KM,1.1,,42/45,Hotel · cách tiệm ~1.1km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P068-KHACH-SAN-HOANG-LONG,Khách Sạn Hoàng Long,HOTEL,https://ca.trip.com/hotels/nha-trang-hotel-detail-91839685/khch-sn-hong-long/,2026-08-18,FREE_DELIVERY_LE_2KM,1.1,,42/45,Hotel · cách tiệm ~1.1km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P069-GOLDEN-HOLIDAY-HOTEL,GOLDEN HOLIDAY HOTEL,HOTEL,https://us.trip.com/hotels/nha-trang-hotel-detail-1470566/holiday-hotel/,2026-08-18,FREE_DELIVERY_LE_2KM,1.2,48,42/45,Hotel · ~48 phòng/căn · cách tiệm ~1.2km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
P070-REMBRANDT-HOTEL-NHA-TRANG,Rembrandt Hotel Nha Trang,HOTEL,https://us.trip.com/hotels/nha-trang-hotel-detail-993654/rembrandt-hotel-nha-trang/,2026-08-18,FREE_DELIVERY_LE_2KM,1.2,80,42/45,Hotel · ~80 phòng/căn · cách tiệm ~1.2km · giao nhận miễn phí,PROSPECT_TIER_A,,"Ghé tận nơi, xin gặp người phụ trách",,
